USE_YM,RTE_NO,RTE_NM,STOPS_ID,STOPS_ARS_NO,SBWY_STNS_NM,HR_0_GET_ON_TNOPE,HR_0_GET_OFF_TNOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_TNOPE,HR_2_GET_OFF_TNOPE,HR_3_GET_ON_TNOPE,HR_3_GET_OFF_TNOPE,HR_4_GET_ON_TNOPE,HR_4_GET_OFF_TNOPE,HR_5_GET_ON_TNOPE,HR_5_GET_OFF_TNOPE,HR_6_GET_ON_TNOPE,HR_6_GET_OFF_TNOPE,HR_7_GET_ON_TNOPE,HR_7_GET_OFF_TNOPE,HR_8_GET_ON_TNOPE,HR_8_GET_OFF_TNOPE,HR_9_GET_ON_TNOPE,HR_9_GET_OFF_TNOPE,HR_10_GET_ON_TNOPE,HR_10_GET_OFF_TNOPE,HR_11_GET_ON_TNOPE,HR_11_GET_OFF_TNOPE,HR_12_GET_ON_TNOPE,HR_12_GET_OFF_TNOPE,HR_13_GET_ON_TNOPE,HR_13_GET_OFF_TNOPE,HR_14_GET_ON_TNOPE,HR_14_GET_OFF_TNOPE,HR_15_GET_ON_TNOPE,HR_15_GET_OFF_TNOPE,HR_16_GET_ON_TNOPE,HR_16_GET_OFF_TNOPE,HR_17_GET_ON_TNOPE,HR_17_GET_OFF_TNOPE,HR_18_GET_ON_TNOPE,HR_18_GET_OFF_TNOPE,HR_19_GET_ON_TNOPE,HR_19_GET_OFF_TNOPE,HR_20_GET_ON_TNOPE,HR_20_GET_OFF_TNOPE,HR_21_GET_ON_TNOPE,HR_21_GET_OFF_TNOPE,HR_22_GET_ON_TNOPE,HR_22_GET_OFF_TNOPE,HR_23_GET_ON_TNOPE,HR_23_GET_OFF_TNOPE,TRFC_MNS_TYPE_CD,TRFC_MNS_TYPE_NM,REG_YMD
202501,100,100번(하계동~용산구청),110000352,11453,하계시영아파트(00109),16.0,262.0,5.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,139.0,56.0,495.0,95.0,611.0,88.0,477.0,105.0,462.0,91.0,474.0,105.0,487.0,91.0,536.0,60.0,472.0,74.0,562.0,60.0,668.0,52.0,813.0,56.0,739.0,41.0,522.0,36.0,498.0,24.0,491.0,14.0,495.0,10.0,375.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000354,11455,하계장미아파트(00110),9.0,202.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,246.0,131.0,1175.0,187.0,1284.0,99.0,910.0,101.0,713.0,81.0,639.0,84.0,629.0,75.0,616.0,59.0,604.0,108.0,671.0,90.0,710.0,94.0,799.0,100.0,776.0,57.0,392.0,35.0,387.0,26.0,309.0,16.0,363.0,14.0,231.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000324,11425,하계미성아파트.을지병원(00111),175.0,187.0,15.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,52.0,182.0,233.0,594.0,439.0,319.0,425.0,307.0,381.0,267.0,345.0,274.0,371.0,366.0,469.0,306.0,466.0,462.0,463.0,469.0,361.0,714.0,441.0,823.0,326.0,876.0,256.0,521.0,236.0,510.0,226.0,497.0,231.0,297.0,217.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000328,11429,한성여객종점(00112),7.0,102.0,3.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,7.0,64.0,13.0,225.0,12.0,151.0,17.0,125.0,22.0,104.0,26.0,139.0,20.0,109.0,19.0,100.0,30.0,113.0,21.0,101.0,22.0,141.0,20.0,191.0,15.0,150.0,24.0,104.0,11.0,109.0,17.0,133.0,2.0,117.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000695,11433,대진고등학교(00113),5.0,194.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,236.0,30.0,512.0,24.0,369.0,35.0,481.0,40.0,290.0,9.0,349.0,21.0,389.0,22.0,280.0,18.0,345.0,22.0,405.0,29.0,406.0,18.0,523.0,21.0,428.0,9.0,298.0,3.0,288.0,11.0,321.0,6.0,258.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000334,11435,서울온천(00114),11.0,121.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,34.0,265.0,38.0,450.0,34.0,323.0,64.0,277.0,61.0,251.0,93.0,289.0,76.0,373.0,84.0,349.0,87.0,387.0,81.0,417.0,118.0,510.0,75.0,594.0,49.0,484.0,75.0,363.0,43.0,264.0,80.0,364.0,15.0,267.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000336,11437,노원경찰서.혜성여고(00115),5.0,116.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,40.0,135.0,122.0,477.0,57.0,217.0,53.0,191.0,90.0,180.0,84.0,254.0,45.0,260.0,43.0,246.0,74.0,303.0,68.0,339.0,63.0,388.0,61.0,449.0,36.0,428.0,24.0,357.0,9.0,241.0,17.0,284.0,4.0,206.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000341,11442,하계현대아파트(00116),7.0,96.0,5.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,43.0,42.0,84.0,131.0,48.0,151.0,37.0,138.0,32.0,160.0,37.0,140.0,33.0,163.0,39.0,140.0,32.0,206.0,54.0,189.0,37.0,241.0,28.0,253.0,22.0,231.0,11.0,205.0,13.0,210.0,11.0,193.0,12.0,127.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000257,11358,롯데마트(00117),26.0,100.0,14.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,74.0,10.0,146.0,38.0,167.0,30.0,117.0,41.0,204.0,41.0,166.0,41.0,237.0,37.0,155.0,66.0,219.0,63.0,202.0,106.0,300.0,143.0,273.0,48.0,233.0,84.0,143.0,98.0,128.0,58.0,137.0,24.0,110.0,010,서울간선버스,20250203
202501,100,100번(하계동~용산구청),110000276,11377,상명초등학교(00118),11.0,32.0,5.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,35.0,51.0,41.0,106.0,27.0,65.0,23.0,41.0,40.0,65.0,29.0,61.0,30.0,58.0,35.0,78.0,32.0,69.0,53.0,72.0,38.0,95.0,36.0,56.0,13.0,51.0,11.0,46.0,16.0,55.0,15.0,53.0,8.0,26.0,010,서울간선버스,20250203
