STOPS_NO,STOPS_NM,XCRD,YCRD,TOTAL_PASSENGERS
108000014,우이동도선사입구.북한산우이역,127.0127134568,37.6626545921,327667.0
110000016,서울생활사박물관.농협앞,127.0779971246,37.6186839765,234710.0
106000011,한국전력동대문중랑지사,127.0782566814,37.6069574374,496409.0
100000020,경복궁역2번출구,126.9721994292,37.577040144,2079567.0
107000145,성북동주민센터.서울동구고,127.0038751968,37.5909389227,181272.0
103000049,금호고등학교.금호자이1차아파트입구,127.0229328751,37.5531077251,46350.0
123000200,송파구립마천청소년센터,127.1567901158,37.4918330886,109286.0
122000135,대치동미도아파트,127.0677076244,37.4956049426,396623.0
114000161,오목교역8번출구.대학빌딩,126.8728637695,37.524726482,758160.0
120000439,신림청소년독서실.신림체육센터,126.9148713746,37.4804433853,159642.0
118000125,선유도역1번출구.한신아파트,126.8932341248,37.5383576111,750478.0
117000063,남문시장.청춘삘딩,126.8986308908,37.47296493,514992.0
102000182,보광신동아아파트.삼성리버빌아파트,127.0020297105,37.5247380028,279006.0
119000008,현대아파트.유한양행,126.9323737344,37.5132368488,752123.0
115000009,강서대학교.강서LG베스트샵,126.8560333678,37.5548452055,146665.0
115000065,공항동지하도입구,126.808185,37.559087,116702.0
111000213,서부경찰서후문,126.9223367061,37.6024326383,210200.0
103000002,청년회의소.서울새활용플라자,127.0604823356,37.5620353607,1126139.0
124000415,천일초교사거리,127.1312462814,37.5445369862,68220.0
103000126,사근동하이츠아파트앞,127.0486881757,37.561306176,155527.0
122000689,강남효성해링턴코트,127.0939126611,37.4676884285,341972.0
100900054,소나무집,126.964110466,37.6112770717,19438.0
119000081,총신대,126.9661798164,37.4887422791,278187.0
100000108,효제동.김상옥의거터,127.00223,37.5745,472872.0
111900049,갈현노인복지센터,126.9173681302,37.6249708087,38495.0
122000503,도곡2동주민센터.대치중학교,127.0454044309,37.4842540701,87750.0
117900098,어울샘.동산중앙교회,126.9118509343,37.4520508795,14172.0
117900090,가산테라타워,126.8899360299,37.4739704302,258567.0
110900074,보람사거리,127.0670671762,37.6643687096,153227.0
113900274,월드컵파크3단지,126.8883543312,37.5726253056,12329.0
121900182,더미켈란아파트,127.0041602025,37.4855580371,209991.0
121000041,래미안에스티지에스,127.0264688183,37.4925355869,210763.0
121900281,예술의전당,127.0135449202,37.480583233,140963.0
103900109,상봉노인정앞,127.0302182436,37.5526731081,36977.0
118900067,당산역.지하철2호선,126.9023377955,37.5347400035,1967262.0
114900035,목동8단지.목동성당,126.8688815376,37.5225981211,71100.0
111900139,새생명약국앞,126.9180755331,37.6059584123,44345.0
100900205,동묘앞역8번출구,127.0142453819,37.5726943506,140125.0
100900086,헌법재판소.안국역,126.9858152185,37.5773871956,143112.0
111900149,G캐슬아파트,126.9153720356,37.6152443908,54622.0
111900161,대림e편한세상2단지,126.9066309054,37.6128333067,46498.0
122000309,세곡동,127.1095067201,37.4646105826,18769.0
107000274,서경대본관,127.011423,37.61546,363011.0
117900097,구민문화체육센터,126.906683145,37.4701790336,87270.0
103900253,이마트.서울숲힐스테이트아파트,127.052284,37.540121,2454.0
121000135,반포자이아파트,127.0094829161,37.5061556046,109711.0
117000907,독산주공14단지,126.886862144,37.4611353257,72096.0
