STDR_DE_ID,TMZON_PD_SE,ADSTRD_CODE_SE,TOT_LVPOP_CO,MALE_F0T9_LVPOP_CO,MALE_F10T14_LVPOP_CO,MALE_F15T19_LVPOP_CO,MALE_F20T24_LVPOP_CO,MALE_F25T29_LVPOP_CO,MALE_F30T34_LVPOP_CO,MALE_F35T39_LVPOP_CO,MALE_F40T44_LVPOP_CO,MALE_F45T49_LVPOP_CO,MALE_F50T54_LVPOP_CO,MALE_F55T59_LVPOP_CO,MALE_F60T64_LVPOP_CO,MALE_F65T69_LVPOP_CO,MALE_F70T74_LVPOP_CO,FEMALE_F0T9_LVPOP_CO,FEMALE_F10T14_LVPOP_CO,FEMALE_F15T19_LVPOP_CO,FEMALE_F20T24_LVPOP_CO,FEMALE_F25T29_LVPOP_CO,FEMALE_F30T34_LVPOP_CO,FEMALE_F35T39_LVPOP_CO,FEMALE_F40T44_LVPOP_CO,FEMALE_F45T49_LVPOP_CO,FEMALE_F50T54_LVPOP_CO,FEMALE_F55T59_LVPOP_CO,FEMALE_F60T64_LVPOP_CO,FEMALE_F65T69_LVPOP_CO,FEMALE_F70T74_LVPOP_CO
20250918,00,11170570,16013.6905,636.848,284.7611,320.2123,288.9097,457.414,630.0345,659.1955,728.5926,700.0638,576.3124,666.4109,461.9472,320.4229,708.3703,268.1905,214.6435,376.5418,550.6351,696.9063,804.3588,867.5166,698.5334,676.2367,586.9529,663.118,591.7917,448.8748,1129.8951
20250918,00,11170580,9851.3892,295.724,174.626,177.9553,187.199,376.7082,460.7071,464.6456,407.2083,425.7557,310.9354,293.0874,250.2332,182.4049,321.503,283.5874,133.7993,252.2617,421.4037,504.151,587.2761,565.3616,453.1455,433.96,359.5434,397.042,294.6622,235.9266,600.5756
20250918,00,11170590,9101.4764,262.982,118.7986,191.4798,171.5668,317.341,339.0375,438.8891,395.6461,339.4523,298.9202,382.4004,271.6999,190.3587,352.6906,291.2086,128.2988,192.0758,296.029,405.9301,459.4091,517.1662,394.6037,365.065,347.0906,393.021,344.4439,267.0372,628.8348
20250918,00,11170625,34026.0149,888.3228,374.8197,726.2076,1996.8824,1481.5704,1817.0137,2068.9162,1857.1506,1755.7214,1262.674,1266.3846,822.5299,488.5572,1013.5492,685.8667,255.2775,543.6485,1172.1837,1552.5779,1869.2924,1975.0127,1557.3485,1271.3563,1273.3134,1073.2395,891.6417,626.7739,1458.1829
20250918,00,11170630,25226.171,1472.7074,790.9699,740.2693,441.1568,472.4002,452.5407,809.4605,1072.3935,1131.103,948.2736,989.9525,689.5115,518.7483,1085.2119,1281.9647,662.1891,679.6068,500.3768,576.6574,642.9678,1141.5564,1329.1485,1412.4048,1089.0905,1042.2527,832.1825,618.8089,1802.2661
20250918,00,11170640,7035.3265,237.596,83.0935,146.5767,144.8537,164.8615,247.1479,374.1928,395.9057,261.1869,199.4617,312.6279,208.0194,197.6835,289.1962,170.5199,77.5092,100.4096,217.3006,192.9129,261.085,403.0778,328.2348,272.3989,260.224,257.7466,293.6497,252.0539,685.7997
20250918,00,11170650,9159.164,104.1548,55.7732,110.6396,436.9878,643.616,598.1716,650.5036,536.4484,536.3112,303.477,255.3927,217.4071,148.0807,297.0517,122.5245,54.4552,136.7082,489.9613,543.0809,440.9535,405.5346,313.4873,318.2963,226.9998,292.4478,214.7129,158.7528,547.2329
20250918,00,11170660,11444.5428,365.785,165.8793,187.3391,309.9387,428.0588,554.6512,695.2406,724.4548,576.2965,467.9778,320.3258,231.7759,159.9933,391.1588,306.9435,151.2148,199.3222,361.4718,495.7504,616.6666,717.154,613.9638,560.2846,410.6463,359.3867,264.4243,251.1302,557.3084
20250918,00,11170685,19518.635,636.5451,273.2388,229.2047,458.4926,659.0347,804.2306,1158.9266,1127.3677,1084.7562,854.985,709.0484,473.7789,328.8508,668.5974,525.6771,235.1474,246.6332,413.5098,688.4477,908.1017,1393.8409,1222.2364,910.9245,739.1499,646.3658,598.1972,415.7078,1107.6397
20250918,00,11170690,12377.3278,481.6734,347.3422,352.647,271.9081,315.9121,319.885,442.0851,562.9767,646.8086,632.9175,494.4154,384.641,259.8013,510.1331,382.6689,244.4822,350.4292,390.0284,322.8529,309.1194,469.64,612.3327,747.362,537.6033,486.2614,401.8955,285.3566,814.1484
