ADSTRD_CD,ADSTRD_NM,XCNTS_VALUE,YDNTS_VALUE,RELM_AR
11140520,소공동,197736.0,451636.0,943795.0
11110515,청운효자동,197342.0,453874.0,2568432.0
11110530,사직동,197383.0,452705.0,1158536.0
11110540,삼청동,198340.0,454312.0,1479255.0
11110550,부암동,196781.0,455266.0,2274739.0
11110560,평창동,197186.0,457344.0,8947328.0
11110570,무악동,196342.0,453063.0,369520.0
11110580,교남동,196830.0,452392.0,346926.0
11110600,가회동,198812.0,453662.0,539955.0
11110615,종로1·2·3·4가동,199104.0,452849.0,2417171.0
11110630,종로5·6가동,200389.0,452590.0,603167.0
11110640,이화동,200267.0,453352.0,782395.0
11110650,혜화동,199773.0,454212.0,1132421.0
11110670,창신1동,201219.0,452536.0,305337.0
11110680,창신2동,200900.0,452942.0,257323.0
11110690,창신3동,201168.0,453267.0,216835.0
11110700,숭인1동,201492.0,453071.0,239396.0
11110710,숭인2동,201797.0,452772.0,351906.0
11140540,회현동,197977.0,450824.0,897827.0
11140550,명동,198613.0,451602.0,969729.0
11140570,필동,199450.0,450816.0,1464686.0
11140580,장충동,200191.0,450671.0,1017925.0
11140590,광희동,200333.0,451736.0,737204.0
11140605,을지로동,199696.0,451898.0,611524.0
11140615,신당동,201211.0,451795.0,534942.0
11140625,다산동,200739.0,450602.0,523971.0
11140635,약수동,200909.0,450070.0,486369.0
11140645,청구동,201342.0,450817.0,342571.0
11140650,신당5동,201932.0,451567.0,319706.0
11140665,동화동,201648.0,451242.0,327045.0
11140670,황학동,201842.0,452111.0,328640.0
11140680,중림동,196999.0,450869.0,484384.0
11290575,동선동,201635.0,454898.0,724957.0
11290580,돈암1동,202155.0,455576.0,488898.0
11290590,돈암2동,201024.0,455279.0,518335.0
11290600,안암동,202404.0,454241.0,1379571.0
11290610,보문동,201690.0,453697.0,553006.0
11290620,정릉1동,201500.0,455967.0,412365.0
11290630,정릉2동,200751.0,456011.0,1094889.0
11290640,정릉3동,199522.0,456946.0,3327126.0
11290650,정릉4동,199550.0,458261.0,3570914.0
11290660,길음1동,201743.0,456516.0,797310.0
11290685,길음2동,202398.0,456523.0,588002.0
11290705,종암동,202991.0,455319.0,1404527.0
11290715,월곡1동,203227.0,456473.0,801757.0
11290725,월곡2동,204009.0,455962.0,1364901.0
11290760,장위1동,203943.0,457280.0,708546.0
11290770,장위2동,204582.0,456975.0,679894.0
11290780,장위3동,204719.0,457631.0,652601.0
11290810,석관동,205418.0,456523.0,1705061.0
11305534,삼양동,201318.0,458245.0,924092.0
11305535,미아동,202329.0,458782.0,841204.0
11305545,송중동,202912.0,457565.0,1075796.0
11305555,송천동,202199.0,457622.0,929913.0
11305575,삼각산동,201459.0,457508.0,621911.0
11305595,번1동,202702.0,459772.0,627036.0
11305603,번2동,203067.0,458876.0,974298.0
11305608,번3동,203724.0,458233.0,1081177.0
11215840,자양3동,206277.0,447988.0,1196419.0
11215847,자양4동,205623.0,448252.0,1180023.0
11215850,구의1동,207599.0,449114.0,565313.0
11215860,구의2동,208382.0,450180.0,1388041.0
11215870,구의3동,208328.0,448610.0,1027561.0
11230536,용신동,202867.0,452891.0,1618399.0
11230545,제기동,203288.0,453800.0,1181705.0
11230560,전농1동,204501.0,453298.0,1126695.0
11230570,전농2동,205399.0,453462.0,977568.0
11230600,답십리1동,204583.0,452416.0,788242.0
11230610,답십리2동,205392.0,452362.0,875745.0
11230650,장안1동,206054.0,451858.0,1342167.0
11230660,장안2동,206367.0,452902.0,996640.0
11230705,청량리동,203993.0,454365.0,1204398.0
11305615,수유1동,200884.0,458903.0,1649963.0
11305625,수유2동,201709.0,460644.0,581617.0
11305635,수유3동,202069.0,460098.0,745645.0
11305645,우이동,200043.0,462301.0,10587752.0
11305660,인수동,200313.0,459754.0,2998011.0
11320511,창1동,203843.0,460830.0,1122171.0
11170510,후암동,198287.0,450043.0,865892.0
11170520,용산2가동,198681.0,448712.0,1966853.0
11170530,남영동,197775.0,449391.0,1177788.0
11170555,청파동,197070.0,449786.0,886225.0
11170560,원효로1동,197044.0,448666.0,589017.0
11170570,원효로2동,195798.0,448262.0,708975.0
11170580,효창동,196548.0,449256.0,446197.0
11170590,용문동,196333.0,448720.0,277531.0
11170625,한강로동,197224.0,447737.0,2869816.0
11170630,이촌1동,197503.0,446189.0,2872767.0
11170640,이촌2동,195952.0,447042.0,1205543.0
11170650,이태원1동,199403.0,448207.0,582899.0
11170660,이태원2동,199298.0,449139.0,874243.0
11170685,한남동,200457.0,448669.0,3031897.0
11170690,서빙고동,199020.0,446683.0,2821948.0
11170700,보광동,200080.0,447488.0,715096.0
11200520,왕십리2동,202450.0,451325.0,372425.0
11200535,왕십리도선동,202615.0,451924.0,710285.0
11200540,마장동,203587.0,451987.0,1035276.0
11200550,사근동,204011.0,450956.0,1169216.0
11200560,행당1동,203196.0,451063.0,573566.0
11200570,행당2동,202620.0,450795.0,457669.0
11200580,응봉동,202980.0,450152.0,553662.0
11200590,금호1가동,202207.0,450452.0,444872.0
11200615,금호2·3가동,201765.0,450209.0,631196.0
11200620,금호4가동,202135.0,449542.0,832333.0
11200645,옥수동,201819.0,449038.0,1922027.0
11200650,성수1가1동,203735.0,449032.0,1885875.0
11200660,성수1가2동,203857.0,449945.0,930086.0
11200670,성수2가1동,204888.0,448540.0,1184964.0
11200690,성수2가3동,205133.0,449563.0,1054501.0
11200720,송정동,205918.0,450223.0,681916.0
11200790,용답동,205078.0,451045.0,2377148.0
11215710,화양동,206486.0,449309.0,1166008.0
11215730,군자동,206513.0,450394.0,738025.0
11215740,중곡1동,206864.0,451399.0,614505.0
11215750,중곡2동,207473.0,451046.0,545542.0
11215760,중곡3동,207246.0,452045.0,601866.0
