ADSTRD_CD,ADSTRD_NM,XCNTS_VALUE,YDNTS_VALUE,RELM_AR
11215770,중곡4동,208349.0,451598.0,2313468.0
11215780,능동,207227.0,450122.0,1092105.0
11215810,광장동,209253.0,449817.0,2393761.0
11215820,자양1동,207111.0,448457.0,568868.0
11215830,자양2동,207314.0,447737.0,1657523.0
11230710,회기동,204549.0,454907.0,766917.0
11230720,휘경1동,205529.0,454712.0,521796.0
11230730,휘경2동,205814.0,454122.0,1113609.0
11230740,이문1동,205338.0,455313.0,1039602.0
11230750,이문2동,205962.0,455921.0,723890.0
11260520,면목2동,206875.0,454417.0,763122.0
11260540,면목4동,207542.0,452678.0,843466.0
11260550,면목5동,206967.0,453666.0,704936.0
11260565,면목본동,207894.0,454310.0,849019.0
11260570,면목7동,208197.0,453070.0,1236134.0
11260575,면목3·8동,208687.0,453886.0,1614117.0
11260580,상봉1동,207898.0,455798.0,854219.0
11260590,상봉2동,207420.0,454976.0,677445.0
11260600,중화1동,207336.0,455894.0,641493.0
11260610,중화2동,206626.0,455515.0,1016955.0
11260620,묵1동,207287.0,457130.0,1238436.0
11260630,묵2동,206589.0,456807.0,669204.0
11260655,망우본동,209488.0,455845.0,2948109.0
11260660,망우3동,209082.0,454707.0,962561.0
11260680,신내1동,209749.0,457437.0,2606949.0
11260690,신내2동,208087.0,456826.0,911281.0
11290525,성북동,199482.0,455235.0,2879912.0
11290555,삼선동,201034.0,454111.0,926227.0
11320681,쌍문4동,202684.0,461755.0,554868.0
11320690,방학1동,203836.0,462823.0,1040857.0
11320700,방학2동,202884.0,463282.0,1092814.0
11320710,방학3동,202079.0,462617.0,1951026.0
11350560,월계1동,205141.0,458034.0,1107461.0
11350570,월계2동,204528.0,459375.0,2004785.0
11350580,월계3동,205715.0,458315.0,1168283.0
11350595,공릉1동,206405.0,458293.0,1263261.0
11350600,공릉2동,208325.0,459117.0,6983449.0
11350611,하계1동,206626.0,459880.0,1527061.0
11350612,하계2동,205734.0,459495.0,500023.0
11350619,중계본동,207591.0,461004.0,2183234.0
11350621,중계1동,206504.0,461171.0,623451.0
11350624,중계4동,207281.0,462195.0,1519449.0
11350665,상계3·4동,207430.0,464017.0,5211708.0
11350670,상계5동,206176.0,462932.0,906891.0
11350695,상계6·7동,205304.0,461006.0,1450295.0
11350700,상계8동,204721.0,462988.0,666348.0
11350710,상계9동,205486.0,463108.0,719445.0
11350720,상계10동,205152.0,462233.0,809214.0
11380510,녹번동,194223.0,456194.0,1794215.0
11380520,불광1동,194584.0,457477.0,3124927.0
11380530,불광2동,193706.0,458300.0,1396089.0
11380551,갈현1동,192473.0,458403.0,961071.0
11380552,갈현2동,192271.0,457602.0,985165.0
11380560,구산동,191816.0,456835.0,1389775.0
11380570,대조동,193215.0,456966.0,851692.0
11380580,응암1동,193559.0,455422.0,1109863.0
11380590,응암2동,193190.0,454728.0,755247.0
11380600,응암3동,192718.0,454377.0,752773.0
11380625,역촌동,192461.0,456114.0,1157542.0
11380631,신사1동,191920.0,455511.0,808314.0
11380632,신사2동,191716.0,454814.0,1046222.0
11380640,증산동,191692.0,453846.0,807409.0
11380650,수색동,190685.0,454009.0,1290258.0
11380690,진관동,194512.0,460009.0,11565110.0
11410520,천연동,196171.0,452421.0,982817.0
11410555,북아현동,196026.0,451086.0,458945.0
11410565,충현동,196317.0,451602.0,1116001.0
11410585,신촌동,194838.0,451617.0,2720364.0
11410615,연희동,194063.0,452523.0,2929172.0
11410620,홍제1동,195082.0,453762.0,1235632.0
11410640,홍제3동,195737.0,454760.0,1192508.0
11410655,홍제2동,195806.0,453871.0,699978.0
11410660,홍은1동,195310.0,455665.0,1615140.0
11410685,홍은2동,194006.0,454181.0,2075085.0
11410690,남가좌1동,192604.0,452478.0,475536.0
11410700,남가좌2동,193052.0,453156.0,783775.0
11410710,북가좌1동,191882.0,452878.0,577979.0
11410720,북가좌2동,192345.0,453517.0,824866.0
11440555,아현동,195823.0,450258.0,744328.0
11440565,공덕동,196284.0,449979.0,1019197.0
11440585,도화동,195502.0,448794.0,625018.0
11350625,중계2·3동,205816.0,460426.0,919083.0
11350630,상계1동,205744.0,464860.0,5402614.0
11350640,상계2동,205921.0,461893.0,623125.0
11440700,망원2동,191180.0,451056.0,676411.0
11440710,연남동,193068.0,451501.0,647438.0
11440720,성산1동,192211.0,451389.0,859254.0
11440730,성산2동,191339.0,452092.0,1978724.0
11440740,상암동,189390.0,452361.0,8402415.0
11470510,목1동,188901.0,447566.0,1433111.0
11470520,목2동,188890.0,449354.0,1021355.0
11470530,목3동,188118.0,449526.0,531850.0
11320512,창2동,203245.0,460322.0,654442.0
11320513,창3동,203683.0,459743.0,655485.0
11320514,창4동,204493.0,461455.0,1140172.0
11320515,창5동,203776.0,461749.0,701480.0
11320521,도봉1동,202364.0,465073.0,8451468.0
11320522,도봉2동,204208.0,464622.0,1119031.0
11320660,쌍문1동,201722.0,461493.0,1175774.0
11320670,쌍문2동,203258.0,461942.0,541193.0
11320680,쌍문3동,202699.0,460893.0,504805.0
11500550,화곡2동,187129.0,448095.0,454621.0
11500604,가양2동,187133.0,451925.0,823874.0
11470540,목4동,188241.0,448436.0,577493.0
11470550,목5동,189384.0,448512.0,1766361.0
11470560,신월1동,185371.0,447987.0,622400.0
11470570,신월2동,186416.0,447115.0,606811.0
11470580,신월3동,184750.0,448119.0,918039.0
11470590,신월4동,185843.0,446975.0,469873.0
11470600,신월5동,184926.0,449057.0,638302.0
11470610,신월6동,186046.0,446290.0,444286.0
11470611,신월7동,185025.0,446632.0,1230628.0
11470620,신정1동,187594.0,446612.0,747568.0
11470630,신정2동,188931.0,446665.0,525899.0
11470640,신정3동,185951.0,445826.0,2756536.0
11500560,화곡3동,185357.0,449400.0,521858.0
11500570,화곡4동,187502.0,448518.0,852049.0
11500590,화곡본동,186577.0,449247.0,972735.0
11500591,화곡6동,186854.0,450255.0,1037911.0
11500593,화곡8동,186634.0,448318.0,593322.0
11500603,가양1동,185397.0,452470.0,4970691.0
11440590,용강동,194893.0,449115.0,790602.0
11440600,대흥동,194833.0,450283.0,858570.0
11440610,염리동,195368.0,450041.0,491468.0
11440630,신수동,194238.0,449573.0,797879.0
11440655,서강동,193463.0,449693.0,1478577.0
11440660,서교동,193014.0,450583.0,1678981.0
11440680,합정동,191955.0,449720.0,1712389.0
11440690,망원1동,191142.0,450460.0,1101005.0
11470650,신정4동,187414.0,447334.0,997144.0
11470670,신정6동,188487.0,446275.0,940885.0
11470680,신정7동,188100.0,445609.0,1234130.0
11500510,염창동,188673.0,450565.0,1732856.0
11500520,등촌1동,187595.0,450713.0,650741.0
11650600,방배1동,199669.0,442826.0,689244.0
11650610,방배2동,199420.0,440664.0,1904030.0
11650620,방배3동,199816.0,441660.0,2375134.0
11650621,방배4동,199202.0,443376.0,949527.0
11650651,양재1동,201990.0,441119.0,5765358.0
11650652,양재2동,204048.0,439083.0,7562268.0
11650660,내곡동,206249.0,439607.0,12708880.0
11680510,신사동,201784.0,447399.0,2059234.0
11530770,오류1동,185997.0,444168.0,727414.0
11530780,오류2동,185712.0,442885.0,3061018.0
11530790,수궁동,184615.0,444345.0,2661352.0
11530800,항동,184486.0,442414.0,1446941.0
11545510,가산동,189721.0,441920.0,2512852.0
11545610,독산1동,190489.0,440548.0,2061921.0
11545620,독산2동,191395.0,440507.0,617174.0
11545630,독산3동,191562.0,441821.0,934985.0
